electricitytype,sector,codelist_province,year,population_n,area_km2,ratio_population_per_area,electicity_user_amount,house_usage,smallbusiness_usage,mediumbusiness_usage,largebusiness_usage,largebusiness_usage_code,other_usage,business_usage,total_usage,factory_amount,registered_capital,worker_amount,new_factory_amount,new_register_capital,new_worker_amount,all_factory_amount,all_registered_capital,all_worker_amount,average_monthly_income,average_monthly_expenditure,average_debt_per_household,number_of_household,mean_dry_bulb_temperature,mean_maximum_temperature,mean_minimum_temperature,mean_msl_pressure,mean_relative_humidity,mean_station_pressure,std_dry_bulb_temperature,std_maximum_temperature,std_minimum_temperature,std_msl_pressure,std_relative_humidity,std_station_pressure
1.00,3.00,50.00,2549.00,1779254.00,20107.00,88.00,495959.00,628112378.00,279831691.00,311038653.00,250798786.00,1.00,268362261.00,841669130.00,1738143769.00,2276.00,21621.00,42004.00,101.00,1762.00,1986.00,2377.00,23383.00,43990.00,14904.00,14775.00,114321.00,544.13,23.73,29.13,19.02,1008.70,72.57,938.92,2.26,2.31,2.67,3.30,12.59,1.52
1.00,3.00,50.00,2550.00,1779254.00,20107.00,88.00,514462.00,681441804.00,306045872.00,344852867.00,278953799.00,1.00,290648060.00,929852538.00,1901942402.00,2303.00,22772.00,43218.00,80.00,1200.00,1920.00,2383.00,23972.00,45138.00,14386.00,15606.90,93611.00,552.39,23.73,29.13,19.02,1008.70,72.57,938.92,2.26,2.31,2.67,3.30,12.59,1.52
1.00,3.00,50.00,2551.00,1779254.00,20107.00,88.00,528748.00,709318633.00,319069606.00,352418017.00,301466609.00,1.00,319022918.00,972954232.00,2001295783.00,2348.00,24043.00,42288.00,102.00,1628.00,1982.00,2450.00,25671.00,44270.00,15263.50,15095.95,112568.20,553.03,23.73,29.13,19.02,1008.70,72.57,938.92,2.26,2.31,2.67,3.30,12.59,1.52
1.00,3.00,50.00,2552.00,1779254.00,20107.00,88.00,548591.00,756632234.00,336265580.00,377748117.00,304911119.00,1.00,327722223.00,1018924816.00,2103279273.00,2343.00,24308.00,39506.00,65.00,890.00,1493.00,2408.00,25198.00,40999.00,16141.00,14585.00,131525.40,553.67,23.73,29.13,19.02,1008.70,72.57,938.92,2.26,2.31,2.67,3.30,12.59,1.52
1.00,3.00,50.00,2553.00,1779254.00,20107.00,88.00,567000.00,843631167.00,363137055.00,406314470.00,324051287.00,1.00,363049962.00,1093502812.00,2300183941.00,2343.00,24773.00,39507.00,45.00,1030.00,1053.00,2388.00,25803.00,40560.00,17232.10,13144.25,110302.75,554.51,23.73,29.13,19.02,1008.70,72.57,938.92,2.26,2.31,2.67,3.30,12.59,1.52
1.00,3.00,50.00,2554.00,1779254.00,20107.00,88.00,585408.00,834128201.00,366614246.00,385119411.00,350166000.00,1.00,364857374.00,1101899657.00,2300885232.00,2397.00,26092.00,40702.00,66.00,1221.00,1354.00,2463.00,27313.00,42056.00,18323.20,11703.50,89080.10,555.35,23.73,29.13,19.02,1008.70,72.57,938.92,2.26,2.31,2.67,3.30,12.59,1.52
1.00,3.00,50.00,2555.00,1779254.00,20107.00,88.00,608159.00,917888661.00,406356975.00,418801296.00,406118159.00,1.00,354031156.00,1231276430.00,2503196247.00,2449.00,27068.00,42192.00,65.00,1301.00,1383.00,2514.00,28369.00,43575.00,16357.95,12717.59,64131.25,576.31,23.73,29.13,19.02,1008.70,72.57,938.92,2.26,2.31,2.67,3.30,12.59,1.52
1.00,3.00,50.00,2556.00,1779254.00,20107.00,88.00,636709.00,968903999.00,454582849.00,493864665.00,428802334.00,1.00,284244684.00,1377249848.00,2630398531.00,2506.00,30521.00,43136.00,79.00,3061.00,1528.00,2585.00,33582.00,44664.00,14392.70,13731.68,39182.40,597.28,23.73,29.13,19.02,1008.70,72.57,938.92,2.26,2.31,2.67,3.30,12.59,1.52
1.00,3.00,50.00,2557.00,1779254.00,20107.00,88.00,661645.00,993813276.00,471201360.00,506500824.00,496128505.00,1.00,283726565.00,1473830689.00,2751370530.00,2573.00,34118.00,44347.00,82.00,2875.00,1444.00,2655.00,36993.00,45791.00,14671.55,12797.74,35188.95,611.88,23.73,29.13,19.02,1008.70,72.57,938.92,2.26,2.31,2.67,3.30,12.59,1.52
1.00,3.00,57.00,2549.00,1298304.00,11678.00,111.00,324836.00,266286786.00,115477032.00,90953515.00,38872713.00,1.00,80853693.00,245303260.00,592443739.00,1757.00,6050.00,10684.00,65.00,976.00,1135.00,1822.00,7026.00,11819.00,10495.00,11430.00,114376.00,384.15,24.48,31.00,19.49,1008.65,77.38,978.23,2.77,2.17,3.96,3.76,5.93,2.13
1.00,3.00,57.00,2550.00,1298304.00,11678.00,111.00,332736.00,280854161.00,125553466.00,94230004.00,50817642.00,1.00,87396840.00,270601112.00,638852113.00,1789.00,6541.00,10926.00,67.00,498.00,731.00,1856.00,7039.00,11657.00,13736.00,12725.50,101202.00,408.30,24.48,31.00,19.49,1008.65,77.38,978.23,2.77,2.17,3.96,3.76,5.93,2.13
1.00,3.00,57.00,2551.00,1298304.00,11678.00,111.00,338425.00,291075444.00,131609615.00,97706504.00,68662053.00,1.00,94821171.00,297978172.00,683874787.00,1811.00,6861.00,11432.00,42.00,431.00,727.00,1853.00,7292.00,12159.00,13507.00,12058.25,97797.20,409.00,24.48,31.00,19.49,1008.65,77.38,978.23,2.77,2.17,3.96,3.76,5.93,2.13
1.00,3.00,57.00,2552.00,1298304.00,11678.00,111.00,346441.00,316106887.00,140521734.00,112138212.00,90587091.00,1.00,104241095.00,343247037.00,763595019.00,1847.00,7420.00,12229.00,44.00,403.00,381.00,1891.00,7823.00,12610.00,13278.00,11391.00,94392.40,409.70,24.48,31.00,19.49,1008.65,77.38,978.23,2.77,2.17,3.96,3.76,5.93,2.13
1.00,3.00,57.00,2553.00,1298304.00,11678.00,111.00,355161.00,346237582.00,150019896.00,119375072.00,110653150.00,1.00,113093298.00,380048118.00,839378998.00,1891.00,8724.00,12667.00,62.00,1449.00,547.00,1953.00,10173.00,13214.00,14155.85,11229.60,102741.95,410.39,24.48,31.00,19.49,1008.65,77.38,978.23,2.77,2.17,3.96,3.76,5.93,2.13
1.00,3.00,57.00,2554.00,1298304.00,11678.00,111.00,364283.00,363492316.00,154707531.00,124673037.00,134172921.00,1.00,115879334.00,413553489.00,892925139.00,1943.00,9371.00,13046.00,71.00,833.00,537.00,2014.00,10204.00,13583.00,15033.70,11068.20,111091.50,411.08,24.48,31.00,19.49,1008.65,77.38,978.23,2.77,2.17,3.96,3.76,5.93,2.13
1.00,3.00,57.00,2555.00,1298304.00,11678.00,111.00,377144.00,390517913.00,172342169.00,139759543.00,173330429.00,1.00,105750653.00,485432141.00,981700707.00,2002.00,11738.00,13380.00,80.00,2628.00,1044.00,2082.00,14366.00,14424.00,14271.90,11149.52,78023.60,384.05,24.48,31.00,19.49,1008.65,77.38,978.23,2.77,2.17,3.96,3.76,5.93,2.13
1.00,3.00,57.00,2556.00,1298304.00,11678.00,111.00,388149.00,405508447.00,197026056.00,171041032.00,194598457.00,1.00,69440983.00,562665545.00,1037614975.00,2066.00,15195.00,14401.00,61.00,3366.00,909.00,2127.00,18561.00,15310.00,13510.10,11230.83,44955.70,357.02,24.48,31.00,19.49,1008.65,77.38,978.23,2.77,2.17,3.96,3.76,5.93,2.13
1.00,3.00,57.00,2557.00,1298304.00,11678.00,111.00,398180.00,418229462.00,202746196.00,186426022.00,214016653.00,1.00,68436951.00,603188871.00,1089855284.00,2091.00,16173.00,14486.00,46.00,1034.00,496.00,2137.00,17207.00,14982.00,13503.65,11652.72,59060.85,360.60,24.48,31.00,19.49,1008.65,77.38,978.23,2.77,2.17,3.96,3.76,5.93,2.13
1.00,2.00,76.00,2549.00,485191.00,6225.00,78.00,134688.00,203005136.00,49337408.00,137961874.00,428528439.00,1.00,76579182.00,615827721.00,895412039.00,660.00,29052.43,19585.00,34.00,1681.74,2521.00,694.00,30734.17,22106.00,15042.00,17102.00,85158.00,134.27,27.92,31.98,24.33,1009.38,76.42,1008.85,1.31,0.99,1.70,2.06,2.37,2.12
